,video,audio_clip,mean,std
0,1,video1_sec0-3000.wav,-0.08333333333333333,0.14433756729740643
1,1,video1_sec1500-4500.wav,-0.08333333333333333,0.6157420880884382
2,1,video1_sec3000-6000.wav,0.25,1.0897247358851685
3,1,video1_sec4500-7500.wav,0.4166666666666667,1.1085975711283194
4,1,video1_sec6000-9000.wav,0.5,2.29128784747792
5,1,video1_sec7500-10500.wav,0.5,2.29128784747792
6,1,video1_sec9000-12000.wav,0.5,2.29128784747792
7,1,video1_sec10500-13500.wav,0.0,2.61218536689421
8,1,video1_sec12000-15000.wav,0.0,2.5495097567963922
9,1,video1_sec13500-16500.wav,0.0,2.5495097567963922
10,1,video1_sec15000-18000.wav,0.0,2.5495097567963922
11,1,video1_sec16500-19500.wav,0.0,2.5495097567963922
12,1,video1_sec18000-21000.wav,0.08333333333333333,2.185017704740147
13,1,video1_sec19500-22500.wav,0.9166666666666666,1.8423381646365513
14,1,video1_sec21000-24000.wav,1.0,1.8708286933869707
15,1,video1_sec22500-25500.wav,1.0,1.8708286933869707
16,1,video1_sec24000-27000.wav,1.0,1.8708286933869707
17,1,video1_sec25500-28500.wav,1.0,1.8708286933869707
18,1,video1_sec27000-30000.wav,0.9166666666666666,1.8423381646365513
19,1,video1_sec28500-31500.wav,0.75,1.7853571071357124
20,1,video1_sec30000-33000.wav,1.0,2.1213203435596424
21,1,video1_sec31500-34500.wav,1.0,2.1213203435596424
22,1,video1_sec33000-36000.wav,1.0833333333333333,2.135901398860127
23,1,video1_sec34500-37500.wav,1.25,2.165063509461097
24,1,video1_sec36000-39000.wav,1.5833333333333333,1.8419459041437136
25,1,video1_sec37500-40500.wav,1.75,1.920286436967152
26,1,video1_sec39000-42000.wav,1.5,2.29128784747792
27,1,video1_sec40500-43500.wav,1.3333333333333333,2.207138288800038
28,1,video1_sec42000-45000.wav,1.1666666666666667,2.066985237436388
29,1,video1_sec43500-46500.wav,1.0,1.8708286933869707
30,1,video1_sec45000-48000.wav,1.25,2.0463381929681126
31,1,video1_sec46500-49500.wav,1.25,2.0463381929681126
32,1,video1_sec48000-51000.wav,1.3333333333333333,2.1279880778047153
33,1,video1_sec49500-52500.wav,1.6666666666666667,2.282168212350023
34,1,video1_sec51000-54000.wav,2.25,1.920286436967152
35,1,video1_sec52500-55500.wav,2.25,1.920286436967152
36,1,video1_sec54000-57000.wav,2.0,1.7320508075688774
37,1,video1_sec55500-58500.wav,2.3333333333333335,1.5773502691896255
38,1,video1_sec57000-60000.wav,2.5,1.5
39,1,video1_sec58500-61500.wav,2.3333333333333335,1.3660254037844386
